greenPpg,irPpg,wristTimeMSec
78805.8,877811.94,33165.9
78806.18,878008.25,33165.94
78786.46,878213.75,33165.98
78784.9,878522.1,33166.02
78788.37,878758.56,33166.06
78807.04,879044.75,33166.1
78828.01,879192.9,33166.14
78833.94,879450.1,33166.18
78854.83,879861.9,33166.22
78882.19,880239.44,33166.26
78902.945,880580.44,33166.3
78945.06,880986.4,33166.34
78959.05,881367.0,33166.38
78910.0,881457.6,33166.42
78835.65,881383.3,33166.46
78797.555,880975.25,33166.5
78737.68,880479.44,33166.54
78721.52,880198.7,33166.582
78718.055,880261.7,33166.62
78694.625,880430.0,33166.66
78721.055,880640.44,33166.7
78693.39,880794.1,33166.74
78700.01,881020.94,33166.78
78714.56,881102.6,33166.82
78729.55,881105.8,33166.86
78734.82,881141.44,33166.9
78765.25,881291.3,33166.94
78773.65,881328.4,33166.98
78793.88,881445.44,33167.02
78817.04,881498.6,33167.06
78802.77,881471.75,33167.1
78712.625,881166.06,33167.14
78636.77,880651.25,33167.18
78597.055,879952.56,33167.22
78557.0,879408.25,33167.26
78525.96,879088.3,33167.3
78517.195,879097.8,33167.34
78509.44,879012.3,33167.38
78510.125,879013.9,33167.42
78493.44,878943.5,33167.46
78515.734,878799.6,33167.5
78510.33,878667.0,33167.54
78526.06,878642.44,33167.582
78553.87,878758.94,33167.62
78554.625,878730.25,33167.66
78596.24,878775.44,33167.7
78607.39,878952.25,33167.74
78589.26,878854.1,33167.78
78527.945,878700.0,33167.82
78468.25,878385.5,33167.86
78432.51,877751.2,33167.9
78391.38,877349.25,33167.94
78401.625,877265.5,33167.98
78384.375,877400.1,33168.02
78365.414,877531.75,33168.06
78384.3,877709.06,33168.1
78370.32,877888.8,33168.14
78394.31,877888.8,33168.18
78421.05,877892.44,33168.22
78419.51,877919.9,33168.26
78438.82,878191.06,33168.3
78499.87,878439.2,33168.34
78523.91,878722.94,33168.38
78613.95,879085.06,33168.42
78558.33,879141.56,33168.46
78511.93,879260.7,33168.5
78448.79,879184.0,33168.54
78471.67,878843.94,33168.58
78402.41,878633.25,33168.62
78441.07,878746.06,33168.66
78462.04,878959.44,33168.7
78462.82,879204.1,33168.74
78479.24,879421.0,33168.78
78499.055,879700.0,33168.82
78477.33,879971.7,33168.86
78525.016,880126.1,33168.9
78601.72,880373.6,33168.94
78598.15,880672.06,33168.98
78688.03,880957.4,33169.02
78699.12,881257.1,33169.06
78732.37,881480.94,33169.1
78762.625,881615.1,33169.14
78737.586,881694.25,33169.18
78698.08,881717.4,33169.22
78687.02,881444.94,33169.26
78700.555,881071.3,33169.3
78695.9,880724.25,33169.34
78728.984,880764.0,33169.38
78740.43,881014.6,33169.42
78763.82,881098.56,33169.46
78782.234,881109.3,33169.5
78822.695,881093.7,33169.54
78855.15,881116.9,33169.58
78905.19,881098.2,33169.62
78940.45,881128.56,33169.66
78996.77,881165.75,33169.7
79041.81,881193.1,33169.74
79084.94,881352.4,33169.78
79151.11,881416.7,33169.82
79192.68,881495.5,33169.86
79182.63,881438.56,33169.9
79186.234,881420.94,33169.94
79163.19,881090.3,33169.98
79164.695,880564.25,33170.02
79185.76,880180.06,33170.06
79226.11,880310.5,33170.1
79249.45,880493.2,33170.14
79291.695,880602.56,33170.18
79324.37,880750.75,33170.22
79351.31,880986.0,33170.26
79378.695,881027.8,33170.3
79433.125,881043.7,33170.34
79475.12,881286.56,33170.38
79558.336,881578.4,33170.42
79586.33,881887.0,33170.46
79657.04,882042.1,33170.5
79725.36,882330.6,33170.54
79706.71,882600.75,33170.58
79693.88,883015.6,33170.62
79698.73,883167.7,33170.66
79717.375,883055.9,33170.7
79729.39,882918.06,33170.74
79767.87,882955.25,33170.78
79805.75,883173.8,33170.82
79837.64,883501.06,33170.86
79880.94,883782.4,33170.9
79926.06,884211.3,33170.94
79967.125,884583.2,33170.98
80002.375,884779.8,33171.02
80047.766,885063.9,33171.06
80101.38,885415.94,33171.1
80154.516,885697.06,33171.14
80211.56,885881.1,33171.18
80264.51,886192.7,33171.22
80318.87,886574.44,33171.26
80371.125,886769.4,33171.3
80384.88,886862.75,33171.34
80387.945,886976.1,33171.38
80409.8,886975.44,33171.42
80430.77,886605.7,33171.46
80400.38,886120.3,33171.5
80460.484,885862.8,33171.54
80484.99,885870.2,33171.58
80509.77,885925.0,33171.62
80551.32,885961.25,33171.66
80587.34,886100.7,33171.7
80633.87,886100.44,33171.74
80677.68,886078.75,33171.78
80728.875,885945.8,33171.82
80704.625,885932.06,33171.86
80804.76,885990.06,33171.9
80842.016,886071.5,33171.94
80926.34,886099.44,33171.98
80952.34,886198.44,33172.02
80970.33,886327.56,33172.06
80993.58,886334.75,33172.1
80979.445,886405.5,33172.14
80977.4,886463.9,33172.18
80997.17,886128.5,33172.22
81028.24,885908.94,33172.26
81056.82,885969.7,33172.3
81087.1,886223.0,33172.34
81109.93,886355.44,33172.38
81148.625,886640.0,33172.42
81161.06,886989.2,33172.46
81206.305,887215.5,33172.5
81233.88,887348.4,33172.54
81293.42,887654.5,33172.58
81327.3,888054.5,33172.62
81375.625,888387.94,33172.66
81416.74,888858.2,33172.7
81453.64,889382.94,33172.74
81497.92,889893.2,33172.78
81487.97,890256.44,33172.82
81491.445,890535.9,33172.86
81521.35,890704.0,33172.9
81517.38,890691.75,33172.94
81538.43,890601.3,33172.98
81561.51,890643.44,33173.02
81579.71,890919.1,33173.06
81629.57,891252.5,33173.1
81652.805,891538.9,33173.14
81661.14,891855.8,33173.18
81714.805,892148.0,33173.22
81729.586,892241.25,33173.26
81781.23,892373.1,33173.3
81815.82,892613.5,33173.34
81857.945,892750.06,33173.38
81882.03,892784.25,33173.42
81956.85,893041.94,33173.46
81973.11,893260.0,33173.5
82001.305,893402.56,33173.54
81985.7,893391.06,33173.58
82012.86,893563.0,33173.62
81993.56,893470.8,33173.66
81960.96,893231.1,33173.7
81975.15,892954.3,33173.74
82009.875,892988.06,33173.78
82020.336,893101.56,33173.82
82045.125,893141.7,33173.86
82063.24,893305.75,33173.9
82091.56,893482.5,33173.94
82111.266,893409.56,33173.98
82148.62,893266.75,33174.02
82151.33,893276.5,33174.06
82185.81,893260.0,33174.1
82219.055,893340.0,33174.14
82236.11,893417.6,33174.18
82269.445,893466.7,33174.22
82281.21,893580.56,33174.26
82291.125,893550.8,33174.3
82265.44,893560.44,33174.34
82242.195,893554.8,33174.38
82253.81,893336.9,33174.42
82261.305,892942.94,33174.46
82314.25,892884.75,33174.5
82256.19,892993.3,33174.54
82269.125,892984.25,33174.58
82278.19,892984.6,33174.62
82298.41,893014.06,33174.66
82367.164,893001.4,33174.7
82315.555,892975.4,33174.74
82344.56,893031.4,33174.78
82368.68,893150.5,33174.82
82390.7,893274.0,33174.86
82405.37,893398.3,33174.9
82423.19,893653.0,33174.94
82450.56,893856.1,33174.98
82399.76,893915.5,33175.02
82388.7,894005.6,33175.06
82337.41,893965.1,33175.1
82344.734,893726.2,33175.14
82324.14,893666.6,33175.18
82362.86,893730.6,33175.22
82360.67,893819.5,33175.26
82350.36,894065.3,33175.3
82327.22,894285.44,33175.34
82354.45,894433.7,33175.38
82386.85,894581.9,33175.418
82399.86,894577.0,33175.46
82396.01,894641.0,33175.5
82406.81,894460.3,33175.54
82431.17,894466.8,33175.58
82442.19,894860.8,33175.62
82458.75,895315.6,33175.66
82442.25,895640.2,33175.7
82399.266,896019.06,33175.74
82367.62,896204.1,33175.78
82309.76,896134.9,33175.82
82278.766,895875.7,33175.86
82256.44,895796.56,33175.9
82240.305,895890.6,33175.94
82217.125,896009.7,33175.98
82223.42,896176.8,33176.02
82201.43,896527.0,33176.06
82188.69,896648.2,33176.1
82132.65,896690.6,33176.14
82149.15,896587.25,33176.18
82142.266,896685.5,33176.22
82139.0,896788.06,33176.26
82151.32,897032.5,33176.3
82167.57,897118.5,33176.34
82152.61,897270.8,33176.38
82111.8,897225.1,33176.42
82052.35,897281.7,33176.46
81943.81,897149.6,33176.5
81871.266,896784.94,33176.54
81822.56,896531.3,33176.58
81766.02,896399.0,33176.62
81770.25,896251.56,33176.66
81708.086,895849.5,33176.7
81692.0,895744.4,33176.74
81672.125,895817.56,33176.78
81646.45,895768.94,33176.82
81625.75,895680.94,33176.86
81644.93,895579.8,33176.9
81620.08,895616.06,33176.94
81607.54,895174.44,33176.98
81614.27,894696.3,33177.02
81628.805,894815.7,33177.06
81583.35,894982.9,33177.1
81498.25,894975.6,33177.14
81409.055,895010.9,33177.18
81343.44,894544.44,33177.22
81269.266,894164.4,33177.26
81240.44,894055.2,33177.3
81208.24,894169.9,33177.34
81178.81,894266.9,33177.38
81154.44,894422.44,33177.42
81102.25,894264.0,33177.46
81082.29,894036.5,33177.5
81072.055,894036.2,33177.54
81071.21,894223.0,33177.58
81044.71,894361.4,33177.62
81071.94,894643.5,33177.66
81070.48,894988.06,33177.7
81050.69,895481.3,33177.74
80977.72,895701.5,33177.78
80931.44,895950.7,33177.82
80841.97,895931.1,33177.86
80754.17,895597.56,33177.9
80716.484,895555.1,33177.94
80690.875,895816.5,33177.98
80663.24,896069.94,33178.02
80634.586,896437.9,33178.06
80632.445,896926.56,33178.1
80552.39,897615.3,33178.14
80627.23,897836.5,33178.18
80626.11,897990.8,33178.22
80588.266,898246.25,33178.26
80632.49,898504.5,33178.3
80637.99,898743.06,33178.34
80646.555,898913.75,33178.38
80613.93,899131.75,33178.42
80551.01,899411.7,33178.46
80465.24,899540.4,33178.5
80352.96,899243.1,33178.54
80327.28,898953.0,33178.58
80272.25,898774.44,33178.62
80245.125,898929.06,33178.66
80219.305,899043.1,33178.7
