HR,HR_Confidence,IBI,IBI_Confidence
70.891975,0.0,755.394836,100
70.931694,0.0,0.0,0
70.969429,0.0,0.0,0
71.00528,0.0,0.0,0
71.039337,0.0,0.0,0
71.071686,0.0,0.0,0
71.102417,0.0,0.0,0
71.131615,0.0,0.0,0
71.159355,0.0,0.0,0
71.185707,0.0,0.0,0
71.210739,0.0,0.0,0
71.23452,0.0,0.0,0
71.257111,0.0,0.0,0
71.278572,0.0,0.0,0
71.298965,0.0,0.0,0
71.318336,0.0,0.0,0
71.336739,0.0,0.0,0
71.354218,0.0,0.0,0
71.370827,0.0,0.0,0
71.386604,0.0,0.0,0
71.401596,0.0,0.0,0
71.415833,0.0,754.002014,100
71.429359,0.0,0.0,0
71.442207,0.0,0.0,0
71.454414,0.0,0.0,0
71.466011,0.0,0.0,0
71.477028,0.0,0.0,0
71.487495,0.0,0.0,0
71.497437,0.0,0.0,0
71.506882,0.0,0.0,0
71.515854,0.0,0.0,0
71.524384,0.0,0.0,0
71.532486,0.0,0.0,0
71.540184,0.0,0.0,0
71.547493,0.0,0.0,0
71.554436,0.0,0.0,0
71.561035,0.0,0.0,0
71.567299,0.0,0.0,0
71.57325,0.0,733.900269,100
71.578903,0.0,0.0,0
71.584274,0.0,0.0,0
71.589378,0.0,0.0,0
71.594231,0.0,0.0,0
71.598839,0.0,0.0,0
71.603218,0.0,0.0,0
71.607376,0.0,0.0,0
71.611328,0.0,0.0,0
71.615082,0.0,0.0,0
71.618645,0.0,0.0,0
71.622032,0.0,0.0,0
71.625252,0.0,0.0,0
71.628311,0.0,0.0,0
71.631218,0.0,0.0,0
71.63398,0.0,0.0,0
71.636597,0.0,0.0,0
71.639084,0.0,0.0,0
71.641449,0.0,0.0,0
71.643692,0.0,748.869141,100
71.645828,0.0,0.0,0
71.647858,0.0,0.0,0
71.64978,0.0,0.0,0
71.651611,0.0,0.0,0
71.653351,0.0,0.0,0
71.654999,0.0,0.0,0
71.65657,0.0,0.0,0
71.658058,0.0,0.0,0
71.659477,0.0,0.0,0
71.66082,0.0,0.0,0
71.662102,0.0,0.0,0
71.663315,0.0,0.0,0
71.664467,0.0,0.0,0
71.665565,0.0,0.0,0
71.666603,0.0,0.0,0
71.667595,0.0,0.0,0
71.668533,0.0,0.0,0
71.669426,0.0,777.718262,100
71.670273,0.0,0.0,0
71.671082,0.0,0.0,0
71.671844,0.0,0.0,0
71.672569,0.0,0.0,0
71.673264,0.0,0.0,0
71.67392,0.0,0.0,0
71.674545,0.0,0.0,0
71.67514,0.0,0.0,0
71.675705,0.0,0.0,0
71.676239,0.0,0.0,0
71.676743,0.0,0.0,0
71.677223,0.0,0.0,0
71.677681,0.0,0.0,0
71.678116,0.0,0.0,0
71.678528,0.0,0.0,0
71.678917,0.0,0.0,0
71.679291,0.0,0.0,0
71.679642,0.0,0.0,0
71.679977,0.0,0.0,0
71.680298,0.0,716.615723,100
71.680603,0.0,0.0,0
71.680893,0.0,0.0,0
71.681168,0.0,0.0,0
71.681427,0.0,0.0,0
71.681671,0.0,0.0,0
71.681908,0.0,0.0,0
71.682129,0.0,0.0,0
71.682343,0.0,0.0,0
71.682541,0.0,0.0,0
71.682732,0.0,0.0,0
71.682915,0.0,0.0,0
71.68309,0.0,0.0,0
71.683258,0.0,0.0,0
71.683411,0.0,0.0,0
71.683556,0.0,0.0,0
71.683701,0.0,0.0,0
71.683838,0.0,709.900452,100
71.683968,0.0,0.0,0
71.68409,0.0,0.0,0
71.684204,0.0,0.0,0
71.684311,0.0,0.0,0
71.684418,0.0,0.0,0
71.684517,0.0,0.0,0
71.684608,0.0,0.0,0
71.6847,0.0,0.0,0
71.684784,0.0,0.0,0
71.68486,0.0,0.0,0
71.684937,0.0,0.0,0
71.685005,0.0,0.0,0
71.685074,0.0,0.0,0
71.685143,0.0,0.0,0
71.685204,0.0,0.0,0
71.685265,0.0,0.0,0
71.685318,0.0,0.0,0
71.685371,0.0,0.0,0
71.685425,0.0,722.601562,100
71.685471,0.0,0.0,0
71.685516,0.0,0.0,0
71.685562,0.0,0.0,0
71.6856,0.0,0.0,0
